"name","tier","turnable","constraint","image_url","directions"
"干燥","common","False","","/images/干燥.PNG","[[-6,1],[6,1]]"
"近似","common","True","","/images/近似.PNG","[[-6,1],[1,1]]"
"骑士道","common","True","","/images/骑士道.PNG","[[-13,1]]"
"到来","common","True","","/images/到来.PNG","[[-12,1],[-6,1],[6,-1],[12,-1]]"
"善意","common","False","last_row","/images/善意.PNG","[[-1,1],[1,1]]"
"凝视","common","True","","/images/凝视.PNG","[[-7,1],[7,-1]]"
"握手","common","True","","/images/握手.PNG","[[-6,1],[6,1]]"
"命运","common","False","","/images/命运.PNG","[[6,1]]"
"智慧","common","True","","/images/智慧.PNG","[[-7,1]]"
"剥削","common","True","","/images/剥削.PNG","[[-1,-1],[1,1]]"
"团结","common","True","","/images/团结.PNG","[[-6,-1],[-1,-1],[1,1],[6,1]]"
"欢呼","common","False","","/images/欢呼.PNG","[[-6,1]]"
"希望","common","True","","/images/希望.PNG","[[1,1]]"
"竞争","uncommon","True","","/images/竞争.PNG","[[-7,-1],[-6,-1],[6,2]]"
"鼓动","uncommon","True","","/images/鼓动.PNG","[[-12,2]]"
"激昂","uncommon","True","","/images/激昂.PNG","[[1,""UNLOCK""]]"
"过去","uncommon","True","","/images/过去.PNG","[[-7,1],[-6,1],[-5,1],[1,1]]"
"未来","uncommon","True","","/images/未来.PNG","[[-7,1],[-6,1],[-5,1],[-1,1]]"
"分配","uncommon","False","","/images/分配.PNG","[[-6,1],[-1,1],[1,1],[6,1]]"
"三头","uncommon","False","","/images/三头.PNG","[[-6,1],[-1,1],[1,1]]"
"收获","uncommon","True","","/images/收获.PNG","[[-6,2],[6,2]]"
"双星","uncommon","True","","/images/双星.PNG","[[-12,2],[12,2]]"
"滋养","uncommon","True","","/images/滋养.PNG","[[-7,1],[-6,1],[-5,1],[6,-1],[12,-1]]"
"渴望","uncommon","False","","/images/渴望.PNG","[[-6,2]]"
"聚集","uncommon","True","","/images/聚集.PNG","[[""ROW"",-1],[-6,3]]"
"入口","uncommon","False","","/images/入口.PNG","[[-7,1],[-6,2],[-5,1]]"
"恶作剧","uncommon","True","","/images/恶作剧.PNG","[[-7,1],[-6,1],[-5,1],[-1,-1],[1,-1]]"
"堆叠","uncommon","True","","/images/堆叠.PNG","[[-13,1],[-12,1],[-7,1],[-6,1]]"
"转移","uncommon","True","","/images/转移.PNG","[[""ROW"",1],[""COL"",-1]]"
"前进","uncommon","True","","/images/前进.PNG","[[-6,1],[-12,1],[-18,1]]"
"正义","uncommon","False","first_or_last_col","/images/正义.PNG","[[""COL"",1]]"
"准备","uncommon","True","","/images/准备.PNG","[[-7,1],[7,1]]"
"出口","uncommon","False","","/images/出口.PNG","[[5,1],[6,2],[7,1]]"
"波浪","uncommon","True","","/images/波浪.PNG","[[-5,2],[-6,-1],[1,-1]]"
"贡品","uncommon","False","","/images/贡品.PNG","[[-7,1],[-5,1],[5,1],[7,1]]"
"名誉","uncommon","True","","/images/名誉.png","[[-6,2],[-13,1]]"
"基础","rare","False","","/images/基础.PNG","[[""ROW"",1]]"
"权能","rare","True","","/images/权能.PNG","[[-6,3]]"
"断绝","rare","False","","/images/断绝.PNG","[[-6,3],[-1,-1],[1,-1],[6,3]]"
"同时性","rare","False","","/images/同时性.PNG","[[""COL"",1]]"
"誓言","rare","True","","/images/誓言.PNG","[[-12,2],[-6,1],[-1,1],[1,1],[6,1]]"
"反抗","rare","True","","/images/反抗.PNG","[[""SLASH"",1]]"
"连接","rare","True","","/images/连接.PNG","[[-6,2],[6,""UNLOCK""]]"
"遮阳","rare","False","first_row","/images/遮阳.PNG","[[""BOTTOM"",1]]"
"刺","legendary","False","","/images/刺.PNG","[[-7,1],[-6,2],[-5,1],[-1,1],[1,1],[5,1],[6,2],[7,1]]"
"边界","legendary","False","","/images/边界.PNG","[[""TOP"",1],[""BOTTOM"",1]]"
"光辉","legendary","True","","/images/光辉.PNG","[[-6,2],[""ROW"",1],[6,2]]"
"奇迹","legendary","False","","/images/奇迹.PNG","[[""ROW"",1],[""COL"",1]]"
"白日梦","legendary","True","","/images/白日梦.PNG","[[-13,1],[-11,1],[-7,1],[-5,1],[5,1],[7,1],[11,1],[13,1]]"
"压缩","legendary","True","","/images/压缩.PNG","[[-6,3],[-12,2],[-18,1]]"
"确信","legendary","True","","/images/确信.PNG","[[-6,5]]"
"款待","legendary","False","","/images/款待.png","[[-1,1],[-6,2],[-1,""UNLOCK""],[2,""UNLOCK""]]"
"勇气","legendary","True","","/images/勇气.png","[[""SLASH"",1],[-7,2],[7,2]]"
"和平","legendary","True","","/images/和平.png","[[-1,3],[1,3]]"
