"id","value","label_kor","label_eng","tier","tier_cn","set_ids","set_names_ko","effect_content","image","description","level","created_at","disabled","source_url","scraped_at"
"1","reinforced_potion_lid","강화 포션 뚜껑","reinforced_potion_lid","common","普通","alchemy","연금술","[고유] 현재 HP가 30% 이하일 때 HP 포션 효과가 +30% 증가","https://img.sephiria.wiki/artifacts/reinforced_potion_lid.webp","약사의 피로와 새벽의 감성이 만든 특이한 물건","0","2025-07-14T10:12:34.52703+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"2","eye_crystal_necklace","눈 결정 목걸이","eye_crystal_necklace","common","普通","glacier","빙하","[고유] 동상에 걸린 대상의 이동 속도를 5/10/15% 추가로 감소
얼음속성 피해 +1/3/5
이동 속도 +1/3/5%","https://img.sephiria.wiki/artifacts/eye_crystal_necklace.png","싸락눈 중 가장 단순한 결정을 모티브로 했습니다.","2","2025-07-14T10:14:24.374777+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"3","mast_model","돛대 모형","mast_model","common","普通","extrium","먹구름","먹구름의 소모 속도 +20/40/60%","https://img.sephiria.wiki/artifacts/mast_model.png","과거 커다란 홍수가 생겼을 때 배를 묶어서 살아남기를 도모한 자들이 있었다.","2","2025-07-22T09:17:38.506935+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"4","lightning_bolt","라이트닝 볼트","lightning_bolt","common","普通","magic_engineering","마법공학","[고유] 라이트닝 볼트 획득","https://img.sephiria.wiki/artifacts/lightning_bolt.png","라이트닝 볼트 마법이 적혀있는 책.","1","2025-07-22T09:20:29.598819+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"5","wizard","마법사의 동전","wizard","common","普通","academy","아카데미","[고유] 보상에서 마법서가 등장할 확률 50% 증가
마법서 가속 +15/20/30","https://img.sephiria.wiki/artifacts/wizard.png","그들이 놀이용으로 사용하던 것.
자신의 마법을 쏟아내어 원하는 면으로 떨어지게 한다.","2","2025-07-22T09:25:20.576241+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"6","dried_flower","말라버린 꽃","dried_flower","common","普通","lake","호수","치명타 확률 +2/4/6%
최대 MP +2/4/6","https://img.sephiria.wiki/artifacts/dried_flower.png","어디서든 씩씩하게 자라는 꽃을 정갈하게 말린 것.","2","2025-07-22T09:46:10.380579+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"7","amulet","명석함의 부적","amulet","common","普通","glacier","빙하","[고유] 얼음 속성 피해 +3/4/6/8","https://img.sephiria.wiki/artifacts/amulet.webp","지닌 자의 잡념을 지워준다.","3","2025-07-22T09:47:46.285396+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"8","windpool_shawl","바람풀 목도리","windpool_shawl","common","普通","spring_song","바람노래","[고유] 대시 공격 피해 +30/45/60/80%","https://img.sephiria.wiki/artifacts/windpool_shawl.png","더 멋진 동물이 된 것 같은 기분을 주는 치장용 목도리.","3","2025-07-28T11:22:51.369507+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"9","shield_technique_manual","방패술 교본","shield_technique_manual","common","普通","firmness","견고","특수 공격 피해 +5/8%","https://img.sephiria.wiki/artifacts/shield_technique_manual.png","'어린 동물에게 보여주지 마시오'라고 쓰여있다.","1","2025-07-28T11:32:31.011+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"10","begonia_flavor_pocket","베고니아 향 주머니","begonia_flavor_pocket","common","普通","firmness","견고","일반 공격 피해 +5/10%","https://img.sephiria.wiki/artifacts/begonia_flavor_pocket.png","가방에 넣어두면 자연스러운 꽃향기가 납니다.","1","2025-08-04T05:10:54.297843+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
